#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
BS_26J942GD	EUR		0.0000	0.0000	0.0759	0.0000	0.9241	1.3366	9.3451	5.7830	6.7477	-3.8101	-0.8811	2.7156	-1.4371	5.0883	-2.6587
BS_2AQZX79Y	EUR		0.0000	0.0000	0.0754	0.0000	0.9246	3.7872	9.8816	1.7848	8.0203	0.1071	-4.0790	1.9608	-0.9474	3.1067	0.8380
BS_2CSCA0JJ	EUR		0.0000	0.0000	0.0337	0.0000	0.9663	1.7089	11.7115	5.4448	7.7224	-3.9209	-0.4568	1.9663	-0.6339	6.4858	0.0299
BS_2E1MBQ4Y	SAS		0.0000	0.0000	0.0000	0.9980	0.0020	-0.1465	2.2841	-5.0413	2.3670	-3.8207	-0.3225	3.1783	-0.7828	3.9456	-1.0464
BS_2EAATK5V	EUR		0.0000	0.0000	0.0214	0.0000	0.9786	0.5935	12.5233	4.4917	7.6091	-3.4115	0.1319	2.2347	-1.6431	4.9390	0.3816
BS_2EJWS3SD	EUR		0.0000	0.0000	0.0250	0.0000	0.9750	0.8577	10.9359	3.3981	8.8658	-3.5533	-0.9161	1.2518	-0.6851	4.6451	-0.0838
BS_2G2VJT4R	EUR		0.0000	0.0000	0.0373	0.0000	0.9627	0.5724	10.7667	3.0089	7.9833	-1.7365	-2.4199	1.3938	1.0560	4.5438	-2.3761
BS_2K76WTCZ	EUR		0.0000	0.0000	0.0297	0.0000	0.9703	2.7419	12.9039	4.2164	7.0671	-4.1350	0.0275	2.4722	-0.9063	2.6885	-1.2227
BS_2PBM9RA8	EUR		0.0000	0.0000	0.0342	0.0000	0.9658	2.3200	10.2512	1.5230	8.7461	-1.9470	-2.5783	1.1232	-0.8114	4.7126	-1.5034
BS_2QF33SK7	EUR		0.0000	0.0000	0.0558	0.0000	0.9442	1.2778	11.1200	3.0523	7.0537	-3.2373	-4.7779	1.8163	0.0268	3.5520	-1.1294
BS_2QRTD3RQ	EAS		1.0000	0.0000	0.0000	0.0000	0.0000	-6.2812	-41.6495	0.9907	7.7133	-2.8744	-0.8173	2.0725	-0.8955	3.5789	-0.9767
BS_2S93EQPX	EUR		0.0000	0.0000	0.0298	0.0000	0.9702	1.4195	10.4676	2.8733	8.8759	-2.6787	-1.2462	2.9892	-0.0982	2.8049	-1.9841
BS_2TZNPK1V	EUR		0.0000	0.0000	0.0169	0.0000	0.9831	-0.3946	11.7416	5.5589	9.2510	-3.6527	1.0974	0.7088	-2.8903	1.8131	-0.4483
BS_2V4BP5Q9	AFR		0.0000	0.9979	0.0021	0.0000	0.0000	47.2344	-9.8197	-0.0244	2.9768	-5.4444	-1.7558	0.9642	-1.6029	2.0713	-1.5835
BS_2W200YK5	AFR		0.0000	0.9983	0.0017	0.0000	0.0000	49.5129	-13.3890	0.1818	1.3843	-3.3285	-1.1906	1.6036	-0.9091	3.6614	-2.5280
