#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA18856	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.6643	18.2079	0.3585	1.8744	1.7322	-2.1247	-4.2709	5.2827	-0.0257	0.2720
HG02396	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.8851	46.2300	-0.6291	9.1330	-7.3195	1.9959	-2.8339	4.0539	3.8038	1.3299
NA20127	AFR	AFR	0.0000	0.9993	0.0007	0.0000	0.0000	55.3802	15.5900	-1.8456	3.1486	0.8135	-1.3266	0.3783	3.1931	1.3299	-3.0824
HG02562	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.5657	17.2402	1.2739	0.9639	-0.2652	-2.3173	-3.8037	1.4516	-0.1117	-3.9049
HG00739	EUR	AMR	0.0000	0.0000	0.0937	0.0000	0.9063	2.8666	-10.8540	-6.1231	6.9334	1.5210	-3.8953	-2.0903	0.8405	-0.3853	-0.4675
HG01063	AMR	AMR	0.0000	0.0806	0.9194	0.0000	0.0000	23.7755	2.1987	-5.1815	0.1964	-0.4973	-0.8134	-2.4882	1.5192	-3.0651	-0.0775
HG04153	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1071	11.7232	17.0669	-3.2804	-3.0512	-1.9554	-4.6311	0.9263	-0.4089	-1.6527
HG02623	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	61.5171	17.5940	-1.3465	1.5984	-0.3884	-3.5214	-5.8428	-1.0374	3.7930	-0.4122
HG00743	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	5.1461	1.3824	-8.3692	-1.9447	-5.0343	0.8246	-0.6581	-0.0099	-0.7046	0.1958
HG02131	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.3640	38.9744	0.4793	5.3846	-2.8800	3.1550	0.1610	-2.0596	-2.4321	-0.2028
HG00476	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.9281	45.2591	-2.5175	7.6857	0.1291	-1.5690	-1.0483	0.5957	4.3988	-3.8537
HG00180	EUR	EUR	0.0000	0.0000	0.0020	0.0000	0.9980	0.0152	-10.4354	-6.4138	8.2328	9.5176	-0.4724	-3.7454	-0.1765	-2.4952	2.2880
HG03515	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	63.2211	18.1982	0.0535	0.6569	0.4884	0.3775	-2.0500	2.0321	-0.3249	-1.6306
HG03352	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.1273	18.1052	-0.0252	0.8073	0.0195	-0.1743	0.0175	4.1810	-3.1092	-2.0603
NA19446	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	58.9197	16.9081	0.8054	1.2449	1.6199	3.1403	1.0646	0.3786	1.7554	1.1806
HG01954	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	-6.9630	22.7450	-21.2421	-32.4333	-1.1697	2.8632	-4.3514	2.2875	3.1836	1.8810
NA21106	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1285	8.4920	18.4895	-4.9457	0.1369	4.1852	-1.8877	1.2373	-0.7736	-3.4321
HG00173	EUR	EUR	0.0000	0.0000	0.0085	0.0000	0.9915	-0.5887	-8.4556	-6.5059	7.5676	4.8515	7.5199	0.1757	3.4088	0.4546	-1.4864
NA19185	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.0274	18.1924	-0.7878	2.1095	-0.6460	-2.1630	-2.0255	0.5997	0.0730	-3.3520
HG02164	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.3091	43.3955	-1.8969	8.5122	-1.9954	3.2468	-3.9659	0.1450	1.0566	-2.9041
HG01124	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	8.9950	3.1046	-9.6930	-7.1416	0.3951	-2.2789	-3.2515	0.6419	0.1074	-2.6824
HG04156	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.0556	10.2839	15.1042	-4.2854	3.1431	-1.6425	-6.8922	2.5664	0.4165	-2.5270
NA18605	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0436	43.8615	-2.3093	8.4163	0.9559	0.4226	-3.0407	-0.0739	2.0945	-1.4464
NA18861	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.4005	17.6123	1.0539	1.1616	1.0110	-3.3821	-4.4036	3.6389	-0.1740	-4.3214
HG01878	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4991	41.6212	1.5805	7.3581	-2.9488	1.7242	-4.5319	1.0068	2.9486	-2.3080
